RP Type,Property Reference      ,UPRN                    ,Parish                          ,Account Holder 1                                          ,Account Holder 2                                          ,Liable From  ,Property Name 1                                ,Property Name 2                                ,Address 1                                      ,Address 2                                      ,Address 3            ,Address 4            ,Post Code     ,Rateable Value,VO Code,Property Description                                      ,Charity,Discretionary,Mandatory,Disc Char Amt,Mand Char Amt,Charity Relief From,Rural,Disc Rural   ,Mand Rural   ,Disc Rural Amt,Mand Rural Amt,Rural From,SBRR,SBRR Amount,SBRR From ,S44,S44 Amount,S44 From  ,S49,S49 Amount,S49 Percent,S49 From  ,Local Discount,Local Amount,RHL,RHL Amount,RHL From,SSB,SSB Amount,SSB From,Transitional,Transitional Amount,Transitional From,Transitional To,Empty,Empty Amount,Empty From,Exempt,Exempt Amount,Exempt From,Exempt To  ,Exempt Type,
C,10104740706A,010090017964,BURGESS HILL,ACCELERATED SYSTEMS LTD,,4/1/2015,,,GND FLR GREENACRE COURT,STATION ROAD,BURGESS HILL,WEST SUSSEX,RH15 9DS,5900,CO,OFFICES AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,Y,-2944.1,5/25/2015,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.02254E+11,010070621843,HAYWARDS HEATH,ACCESSORIZE STORES LTD,,7/23/2020,,,12 THE ORCHARDS,HAYWARDS HEATH,WEST SUSSEX,,RH16 3TH,24500,CS,SHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10482180771X,1.00062E+11,WORTH,ACE AUTO AND MOTS LTD,,5/1/2020,UNIT 6 SILVERWOOD,,UNIT 6 SILVERWOOD,SNOW HILL.CRAWLEY DOWN,CRAWLEY,WEST SUSSEX,RH10 3EN,11000,IF3,WORKSHOP,N,0,0,0,0,,N,0,0,0,0,,Y,-5489,5/1/2020,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10420750065B,010090941892,TURNERS HILL,ACK AVIATION LTD,,8/7/2019,,,UNIT 65 ROWFANT BUSINESS CENTRE,WALLAGE LANE,ROWFANT,CRAWLEY. WEST SUSSEX,RH10 4NQ,14750,IF3,WORKSHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.04208E+11,010070622613,TURNERS HILL,ACK AVIATION LTD,,1/31/2023,,,UNIT 44 ROWFANT BUSINESS CENTRE,WALLAGE LANE,ROWFANT,CRAWLEY WEST SUSSEX,RH10 4NQ,13000,CW,WAREHOUSE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.04208E+11,010070640141,TURNERS HILL,ACK AVIATION LTD,,11/11/2013,,,UNIT 48 ROWFANT BUSINESS CENTRE,WALLAGE LANE,ROWFANT,CRAWLEY WEST SUSSEX,RH10 4NQ,13750,CW,WAREHOUSE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10420750065A,010090941891,TURNERS HILL,ACK AVIATION LTD,,8/7/2019,,,UNIT 64 ROWFANT BUSINESS CENTRE,WALLAGE LANE,ROWFANT,CRAWLEY. WEST SUSSEX,RH10 4NQ,12500,IF4,BUSINESS UNIT AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.01E+11,1.00063E+11,BURGESS HILL,ACORA LIMITED,,6/11/1999,,,ACORA HOUSE,16 ALBERT DRIVE,BURGESS HILL,WEST SUSSEX,RH15 9TN,128000,IFO,FACTORY. OFFICE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.0504E+11,1.00062E+11,ASHURST WOOD,ACORN THERAPY CLINICS LTD,,9/1/2009,,,66 MAYPOLE ROAD,ASHURST WOOD,EAST GRINSTEAD,WEST SUSSEX,RH19 3QY,6300,CS,SHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,Y,-3143.7,4/1/2010,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10225100022Y,1.00062E+11,HAYWARDS HEATH,ACTION FOR DEAFNESS,,1/1/2013,,,22-24 SUSSEX ROAD,HAYWARDS HEATH,WEST SUSSEX,,RH16 4EA,26000,CS,SHOP AND PREMISES,Y,0,80,0,-10379.2,1/1/2013,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
